Headlines;vlad_entity;vlad;shanet_entity;shanet;dhruv_entity;dhruv;spacy_entity;spacy
This Land Was Made For You And Me' — Or Was It?;land;LOC;Land;LOC;Land;LOC;This Land Was Made;WORK_OF_ART
A Perspective On George Zimmerman That Every Person Should Hear;George Zimmerman;PERSON;George Zimmerman;PERSON;George Zimmerman;PERSON;George Zimmerman;PERSON
A Strategy To Combat Crime That McGruff Wished He Thought Of;McGruff;PERSON;McGruff;PERSON;McGruff;PERSON;McGruff;PERSON
Could You Go 100 Days Without Food? These Men Have.;100 Days;DATE;Men;PERSON;100 Days;DATE;100 Days;DATE
Here’s A Map of American Exceptionalism That’s Not...Err...So Exceptional;American Exceptionalism;NORP;American;NORP;American;NORP;American;NORP
I Can Think Of A Few Places I Would Rather Spend $60 Billion. Can’t You?;$60 Billion;MONEY;$60 Billion;MONEY;$60 Billion;MONEY;$60 Billion;MONEY
I Never Thought A 1 Minute Video Could Punch Me In The Heart. Yet Here We Are.;1 minute video;PRODUCT;1 minute;TIME;1 Minute;TIME;1 Minute;TIME
"I Would Have Answered ""superhero"" To This Question. John Lennon's Answer Was Much Better.";John Lenon;PERSON;John Lennons's;PERSON;John Lennon;PERSON;John Lennon's;PERSON
The President Of Brazil Is Going The George Bush Route For This Year's World Cup.;the president of Brazil;PERSON;President;PERSON;President;ORG;Brazil;GPE
The President Of Brazil Is Going The George Bush Route For This Year's World Cup.;Brazil;GPE;Brazil;GPE;Brazil;GPE;George Bush;PERSON
The President Of Brazil Is Going The George Bush Route For This Year's World Cup.;George Bush;PERSON;George Bush;PERSON;George Bush;PERSON;Year;DATE
The President Of Brazil Is Going The George Bush Route For This Year's World Cup.;This year's world cup;EVENT;This Year's World Cup;EVENT;This Year's;DATE;World Cup;EVENT
This Fathers Job To Care For His Children Didn’t End After His 16 Hour Shifts;16 Hour shift;TIME;16 Hour;TIME;16 Hour;TIME;16 Hour;TIME
Watch: The Best And Easiest Way You Can Spend The Next Two Minutes;Two minutes;TIME;Two Minutes;TIME;Two Minutes;TIME;The Next Two Minutes;TIME
